Handle\TaskId     ,A,B,C,D,
art239pro         ,+,+, , ,
Mara2013          ,+,+, , ,
maximus2606       ,+,+, , ,
RobotC            ,+,+, , ,
ukhalikshina      ,+,+, , ,

AndrewB2011       ,+,+, , ,
ChAr09            ,+,+, , ,
Fedorov_Aleksey   ,+,+, , ,
IMoroz            ,+,+, , ,
KhlkShiNaA.       ,+,+, , ,
Lantern21         ,+,+, , ,
Sansiveriy        ,+,+, , ,
sergeydenisov     ,+,+, , ,
SevaKrasnov       ,+,+, , ,
V.Prilepin        ,+,+, , ,
denis.kariev      ,+,+, , ,
Makhrov_Aleksander,+,+, , ,
